问题id,问题,SQL,SQL结果,预测SQL,SQL正确,预测SQL结果,结果正确
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210105'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '综合金融'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[{'股票代码': '600120', '涨跌幅': 0.0}]","SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210105'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '综合金融'
ORDER BY 涨跌幅 DESC
LIMIT 1;",True,"[{'股票代码': '600120', '涨跌幅': 0.0}]",True
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210415'
AND t2.一级行业名称 = '建筑材料'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",[{'数量': 2}],"SELECT COUNT(DISTINCT(t1.股票代码) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210415'
AND t2.一级行业名称 = '建筑材料'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 5
LIMIT 1;",False,,False
3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2021%'
AND 股票代码 = '688338'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 1}],"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2021%'
AND 股票代码 = '688338'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",True,[{'天数': 1}],True
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210304'
AND t2.一级行业名称 = '非银金融'
LIMIT 1;",[{'成交量合计': 2627492624}],"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210304'
AND t2.一级行业名称 = '非银金融'
LIMIT 1;",True,[{'成交量合计': 2627492624}],True
5,嘉实基金管理有限公司2019年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉实基金管理有限公司'
AND 成立日期 LIKE '2019%'
LIMIT 1;",[{'数量': 55}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉实基金管理有限公司'
AND 成立日期 LIKE '2019%'
LIMIT 1;",True,[{'数量': 55}],True
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-09-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 2085, '净赎回份额': 317373703552.49}]","WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-09-30%'
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 净赎回 > 0
LIMIT 1;",False,[{'数量': 2085}],False
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","SELECT t1.股票代码, t1.[成交金额(元)]
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190605'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '石油石化'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;","[{'股票代码': '600028', '成交金额(元)': 488439709.0}]","SELECT t1.股票代码, t1.[成交金额(元)]
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190605'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '石油石化'
ORDER BY t1.[成交金额(元)] DESC
LIMIT 1;",True,"[{'股票代码': '600028', '成交金额(元)': 488439709.0}]",True
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '002244'
AND 交易日 = '20191220'
LIMIT 1;",[{'收盘价': 4.67}],"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '002244'
AND 交易日 = '20191220'
LIMIT 1;",True,[{'收盘价': 4.67}],True
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-09-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 445, '净申购份额': 95620586764.09}]","WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-09-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;",True,"[{'数量': 445, '净申购份额': 95620586764.09}]",True
12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,"SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '湘财长弘灵活配置混合A'
    LIMIT 1
)
AND 交易日期 = '20210419'
LIMIT 1;","[{'资产净值': 56644199.77, '单位净值': 1.0421}]","SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '湘财长弘灵活配置混合A'
    LIMIT 1
)
AND 交易日期 = '20210419'
LIMIT 1;",True,"[{'资产净值': 56644199.77, '单位净值': 1.0421}]",True
