问题id,问题,答案,分类
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,回答：“该公司的招股说明书”,Text
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,这个问题应该属于基金股票数据库。,SQL
3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,"问题：“请帮我查询下股票代码为XXXXXX的股票在2021年内最高日收盘价是多少？”
回答：“基金股票数据库”",SQL
5,嘉实基金管理有限公司2019年成立了多少基金?,问题：“嘉实基金管理有限公司2019年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2021年内最高日收盘价是多少?”,SQL
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,回答：“基金股票数据库”,SQL
10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,"该问题的分类应该是""该公司的招股说明书""。",Text
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"问题：“请帮忙查询下股票代码为XXXXXX的股票在2019年内最高日收盘价是多少？”
回答：“基金股票数据库”",SQL
12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,该问题的描述类别最适合出现在“该公司的招股说明书”中。,Text
16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,该问题的答案应该在联化科技股份有限公司的招股说明书中。,Text
17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。因为该问题涉及到公司历史财务数据，而这些信息通常会在公司的招股说明书中披露。",Text
18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,问题：“该基金股票数据库”,SQL
19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"这个问题的答案应该在""基金股票数据库""中查找。",SQL
21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,"该问题的分类应该是 ""该公司的招股说明书""。",Text
22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,基金股票数据库,SQL
24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,该问题的答案应该在基金股票数据库中。,Text
25,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,这个问题应该属于基金股票数据库。,SQL
26,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,该问题需要查询基金股票数据库中的信息。,SQL
27,中国铁路通信信号股份有限公司的主要经营模式是怎样的？,该问题的描述类别最适合放在招股说明书中。,Text
28,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,"问题：“请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。”
回答：“基金股票数据库”",SQL
29,我想知道圆信永丰高端制造混合基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
30,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"问题：“在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。”
回答：“基金股票数据库”",SQL
31,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
32,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,这个问题应该属于基金股票数据库。,SQL
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,该问题的答案可能包含在该公司 的招股说明书中。,Text
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,该问题的描述中包含了“招股意向书”，因此应该在基金的招股说明书中查找答案。,Text
35,请查询在2019年度，603789股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
36,请查询在2020年度，600076股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
37,广州中海达卫星导航技术股份有限公司本次募集资金主要投资哪些项目？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
38,"我想了解一下红土创新基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",回答：“基金股票数据库”,SQL
39,在2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，只有在该公司的招股说明书中才能找到关于该公司在2008年景观亮化半导体照明领域的市场占有率的信息。",Text
40,湖南南岭民用爆破器材股份有限公司的控股股东是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
41,在研发方面，上海真兰仪表科技股份有限公司利用哪三地的人才优势，成立研发中心，组建了“三位一体”的研发体系？,"该问题的 answers 应该是 ""该公司的招股说明书""。",Text
42,"我想了解博时研究优选灵活配置混合(LOF)A基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
43,我想知道富兰克林国海大中华精选混合(QDII)(美元现汇)在2021年Q2的季报中，该基金的第1大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
44,常熟风范电力设备股份有限公司的机器设备成新率是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
45,2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为多少？,该问题的答案应该在基金的股票数据库中。,Text
46,内蒙古君正能源化工股份有限公司的法定代表人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
47,联化科技股份有限公司的主营业务包括哪两部分？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
