问题id,问题,FA,SQL结果
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是600120，涨跌幅是0.0%。,"[('600120', 0.0)]"
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,N_A,N_A
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量为2。,"[(2,)]"
3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，688338股票涨停天数是1天。,"[(1,)]"
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,20210304日，一级行业为非银金融的股票的成交量合计是2627492624股。,"[(2627492624.0,)]"
5,嘉实基金管理有限公司2019年成立了多少基金?,嘉实基金管理有限公司2019年成立了55只基金。,"[(55,)]"
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,N_A,N_A
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2021年三季度，共有2085家基金发生了净赎回，总共赎回了317373703552.49份。,"[(2085, 317373703552.49)]"
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是600028，成交金额是488439709.0元。","[('600028', 488439709.0)]"
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,股票002244在20191220日期中的收盘价是4.670元。,"[(4.67,)]"
10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,N_A,N_A
