问题,SQL,SQL结果,答案
帮我查询在2021年12月31日，代码为159999的基金前34大重仓股票中属于申万二级高低压设备行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20211231'
AND t1.基金代码 = '159999'
AND t1.第N大重仓股 <= 34
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '高低压设备'
LIMIT 1;",[{'平均市值': 289368.333}],在2021年12月31日，代码为159999的基金前34大重仓股票中属于申万二级高低压设备行业的平均市值是289368.333。
请帮我计算，代码为002480的股票，2021年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '002480'
    AND 交易日 LIKE '2021%'
),
t2 AS (
    SELECT [今开盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 年化收益率
FROM t2 JOIN t3
LIMIT 1;",[{'年化收益率': 53.35}],代码为002480的股票，2021年一年持有的年化收益率为53.35%。
"在20210630的年报(含半年报)中，万家家享中短债债券E基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT 债券类型
FROM 基金债券持仓明细
WHERE 持仓日期 = '20210630'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '万家家享中短债债券E'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '超短期融资券'}],"在20210630的年报(含半年报)中，万家家享中短债债券E基金的债券持仓,其持有最大仓位的债券类型是超短期融资券。"
"请查询：2021年9月其他,持有18国药控股SCP005且是前10大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20210930'
AND 报告类型 = '其他'
AND 债券名称 = '18国药控股SCP005'
AND 第N大重仓股 <= 10
LIMIT 1;",[{'数量': 0}],"2021年9月其他,持有18国药控股SCP005且是前10大重仓股的基金有0个。"
"请帮我查询下在2020年, 中信保诚基金管理有限公司管理的债券型基金中，持有过二级资本债券的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '中信保诚基金管理有限公司'
)
AND 持仓日期 LIKE '2020%'
AND 债券类型 = '二级资本债券'
LIMIT 1;",[{'数量': 2}],"在2020年, 中信保诚基金管理有限公司管理的债券型基金中，持有过二级资本债券的基金有2只。"
20210519日，请给出国泰丰鑫纯债债券基金的管理人和累计单位净值。,"SELECT t1.管理人, t2.累计单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '国泰丰鑫纯债债券'
AND t2.交易日期 = '20210519'
LIMIT 1;","[{'管理人': '国泰基金管理有限公司', '累计单位净值': 1.0433}]",20210519日，国泰丰鑫纯债债券基金的管理人是国泰基金管理有限公司，累计单位净值是1.0433元。
请帮我查询下股票代码为002688的股票在2020年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '002688'
AND 交易日 LIKE '2020%'
LIMIT 1;",[{'最高日收盘价': 9.32}],股票代码为002688的股票在2020年内最高日收盘价是9.32。
博时鑫荣稳健混合C基金在20200930的季报里，前五大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '博时鑫荣稳健混合C'
AND 持仓日期 = '20200930'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 5;","[{'债券名称': '20国债01'}, {'债券名称': '农发1802'}, {'债券名称': 'PR宜高投'}, {'债券名称': '17涪陵01'}, {'债券名称': 'PR建安02'}]",博时鑫荣稳健混合C基金在20200930的季报里，前五大持仓占比的债券名称是20国债01、农发1802、PR宜高投、17涪陵01、PR建安02。
请查询在20190611日期，中信行业分类下商贸零售一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190611'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '商贸零售'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '600729'}],在20190611日期，中信行业分类下商贸零售一级行业中，当日收盘价波动最大的股票代码是600729。
20200416日，大众交通在多少只基金的前三大重仓股中？,"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20200416'
AND 股票名称 = '大众交通'
AND 第N大重仓股 <= 3
LIMIT 1;",[{'数量': 0}],20200416日，大众交通在0只基金的前三大重仓股中。
